Date,Open,High,Low,Close,Share Volume
02 Jan 1985,96.09,96.09,96.09,96.09,0
03 Jan 1985,96.08,96.08,96.08,96.08,0
04 Jan 1985,96.05,96.05,96.05,96.05,0
07 Jan 1985,96.18,96.18,96.18,96.18,0
08 Jan 1985,96.34,96.34,96.34,96.34,0
09 Jan 1985,96.34,96.34,96.34,96.34,0
10 Jan 1985,96.32,96.32,96.32,96.32,0
11 Jan 1985,96.32,96.32,96.32,96.32,0
15 Jan 1985,96.27,96.27,96.27,96.27,0
16 Jan 1985,96.27,96.27,96.27,96.27,0
17 Jan 1985,96.27,96.27,96.27,96.27,0
18 Jan 1985,97.04,97.04,97.04,97.04,0
21 Jan 1985,97.08,97.08,97.08,97.08,0
22 Jan 1985,96.95,96.95,96.95,96.95,0
23 Jan 1985,96.91,96.91,96.91,96.91,0
24 Jan 1985,96.75,96.75,96.75,96.75,0
25 Jan 1985,96.74,96.74,96.74,96.74,0
28 Jan 1985,96.72,96.72,96.72,96.72,0
29 Jan 1985,96.87,96.87,96.87,96.87,0
30 Jan 1985,96.87,96.87,96.87,96.87,0
31 Jan 1985,96.71,96.71,96.71,96.71,0
01 Feb 1985,96.68,96.68,96.68,96.68,0
06 Feb 1985,96.7,96.7,96.7,96.7,0
07 Feb 1985,96.71,96.71,96.71,96.71,0
08 Feb 1985,99.05,99.05,99.05,99.05,0
11 Feb 1985,99.09,99.09,99.09,99.09,0
12 Feb 1985,99.1,99.1,99.1,99.1,0
13 Feb 1985,99.1,99.1,99.1,99.1,0
14 Feb 1985,98.99,98.99,98.99,98.99,0
15 Feb 1985,99.19,99.19,99.19,99.19,0
18 Feb 1985,99.4,99.4,99.4,99.4,0
19 Feb 1985,99.4,99.4,99.4,99.4,0
20 Feb 1985,99.58,99.58,99.58,99.58,0
21 Feb 1985,99.71,99.71,99.71,99.71,0
22 Feb 1985,99.77,99.77,99.77,99.77,0
25 Feb 1985,100.44,100.44,100.44,100.44,0
26 Feb 1985,100.9,100.9,100.9,100.9,0
27 Feb 1985,101.4,101.4,101.4,101.4,0
28 Feb 1985,101.48,101.48,101.48,101.48,0
01 Mar 1985,101.47,101.47,101.47,101.47,0
04 Mar 1985,101.56,101.56,101.56,101.56,0
05 Mar 1985,101.63,101.63,101.63,101.63,0
07 Mar 1985,101.53,101.53,101.53,101.53,0
08 Mar 1985,102.58,102.58,102.58,102.58,0
11 Mar 1985,103.05,103.05,103.05,103.05,0
12 Mar 1985,103.07,103.07,103.07,103.07,0
13 Mar 1985,103.18,103.18,103.18,103.18,0
14 Mar 1985,102.74,102.74,102.74,102.74,0
15 Mar 1985,102.88,102.88,102.88,102.88,0
18 Mar 1985,102.32,102.32,102.32,102.32,0
19 Mar 1985,103.9,103.9,103.9,103.9,0
20 Mar 1985,104.7,104.7,104.7,104.7,0
21 Mar 1985,106.37,106.37,106.37,106.37,0
22 Mar 1985,102.32,102.32,102.32,102.32,0
25 Mar 1985,103.52,103.52,103.52,103.52,0
26 Mar 1985,103.94,103.94,103.94,103.94,0
27 Mar 1985,104.11,104.11,104.11,104.11,0
28 Mar 1985,104.51,104.51,104.51,104.51,0
29 Mar 1985,105.04,105.04,105.04,105.04,0
01 Apr 1985,105.4,105.4,105.4,105.4,0
02 Apr 1985,105.98,105.98,105.98,105.98,0
03 Apr 1985,105.79,105.79,105.79,105.79,0
08 Apr 1985,105.69,105.69,105.69,105.69,0
09 Apr 1985,106.22,106.22,106.22,106.22,0
10 Apr 1985,106.28,106.28,106.28,106.28,0
15 Apr 1985,106.23,106.23,106.23,106.23,0
16 Apr 1985,106.23,106.23,106.23,106.23,0
17 Apr 1985,106.2,106.2,106.2,106.2,0
18 Apr 1985,113.3,113.3,113.3,113.3,0
19 Apr 1985,113.27,113.27,113.27,113.27,0
22 Apr 1985,113.27,113.27,113.27,113.27,0
23 Apr 1985,106.13,106.13,106.13,106.13,0
24 Apr 1985,105.74,105.74,105.74,105.74,0
25 Apr 1985,105.78,105.78,105.78,105.78,0
26 Apr 1985,105.34,105.34,105.34,105.34,0
29 Apr 1985,105.39,105.39,105.39,105.39,0
30 Apr 1985,105.98,105.98,105.98,105.98,0
02 May 1985,106.02,106.02,106.02,106.02,0
03 May 1985,106.11,106.11,106.11,106.11,0
07 May 1985,106.05,106.05,106.05,106.05,0
08 May 1985,105.83,105.83,105.83,105.83,0
