Date,Open,High,Low,Close,Share Volume
27 Jun 2012,2845.23,2845.23,2845.23,2845.23,0
28 Jun 2012,2811.52,2811.52,2811.52,2811.52,0
29 Jun 2012,2817.35,2817.35,2817.35,2817.35,0
02 Jul 2012,2810.37,2810.37,2810.37,2810.37,0
04 Jul 2012,2809.31,2809.31,2809.31,2809.31,0
05 Jul 2012,2797.39,2797.39,2797.39,2797.39,0
06 Jul 2012,2796.51,2796.51,2796.51,2796.51,0
09 Jul 2012,2796.46,2796.46,2796.46,2796.46,0
10 Jul 2012,2793.56,2793.56,2793.56,2793.56,0
11 Jul 2012,2775.55,2775.55,2775.55,2775.55,0
12 Jul 2012,2780.34,2780.34,2780.34,2780.34,0
13 Jul 2012,2772.86,2772.86,2772.86,2772.86,0
16 Jul 2012,2775.09,2775.09,2775.09,2775.09,0
17 Jul 2012,2755.77,2755.77,2755.77,2755.77,0
18 Jul 2012,2742.75,2742.75,2742.75,2742.75,0
19 Jul 2012,2760.18,2760.18,2760.18,2760.18,0
20 Jul 2012,2768.44,2768.44,2768.44,2768.44,0
23 Jul 2012,2761.9,2761.9,2761.9,2761.9,0
24 Jul 2012,2760.92,2760.92,2760.92,2760.92,0
25 Jul 2012,2761.99,2761.99,2761.99,2761.99,0
26 Jul 2012,2755.59,2755.59,2755.59,2755.59,0
27 Jul 2012,2782.5,2782.5,2782.5,2782.5,0
30 Jul 2012,2776.74,2776.74,2776.74,2776.74,0
31 Jul 2012,2785.73,2785.73,2785.73,2785.73,0
02 Aug 2012,2791.68,2791.68,2791.68,2791.68,0
03 Aug 2012,2766.27,2766.27,2766.27,2766.27,0
06 Aug 2012,2766.03,2766.03,2766.03,2766.03,0
07 Aug 2012,2760.95,2760.95,2760.95,2760.95,0
08 Aug 2012,2753.45,2753.45,2753.45,2753.45,0
09 Aug 2012,2739.29,2739.29,2739.29,2739.29,0
10 Aug 2012,2734.21,2734.21,2734.21,2734.21,0
13 Aug 2012,2729.27,2729.27,2729.27,2729.27,0
14 Aug 2012,2768.84,2768.84,2768.84,2768.84,0
15 Aug 2012,2799.78,2799.78,2799.78,2799.78,0
16 Aug 2012,2778.88,2778.88,2778.88,2778.88,0
17 Aug 2012,2792.08,2792.08,2792.08,2792.08,0
20 Aug 2012,2799.31,2799.31,2799.31,2799.31,0
21 Aug 2012,2795.62,2795.62,2795.62,2795.62,0
22 Aug 2012,2831.7,2831.7,2831.7,2831.7,0
23 Aug 2012,2847.5,2847.5,2847.5,2847.5,0
24 Aug 2012,2828.54,2828.54,2828.54,2828.54,0
27 Aug 2012,2846.84,2846.84,2846.84,2846.84,0
28 Aug 2012,2856.75,2856.75,2856.75,2856.75,0
29 Aug 2012,2866.13,2866.13,2866.13,2866.13,0
30 Aug 2012,2877.88,2877.88,2877.88,2877.88,0
03 Sep 2012,2897.76,2897.76,2897.76,2897.76,0
04 Sep 2012,2931.41,2931.41,2931.41,2931.41,0
05 Sep 2012,2943.31,2943.31,2943.31,2943.31,0
06 Sep 2012,2936.01,2936.01,2936.01,2936.01,0
07 Sep 2012,2983.81,2983.81,2983.81,2983.81,0
10 Sep 2012,3026.5,3026.5,3026.5,3026.5,0
11 Sep 2012,3034.0,3034.0,3034.0,3034.0,0
12 Sep 2012,3073.26,3073.26,3073.26,3073.26,0
13 Sep 2012,3132.59,3132.59,3132.59,3132.59,0
14 Sep 2012,3214.35,3214.35,3214.35,3214.35,0
