iter	Logloss
0	0.6884881301
1	0.6841892108
2	0.6801377987
3	0.6764172635
4	0.6730082492
5	0.6698896994
6	0.6670193157
7	0.6641828652
8	0.6615852836
9	0.659165635
10	0.6569368266
11	0.6549176116
12	0.6529819087
13	0.6511952165
14	0.6495113964
15	0.6479331077
16	0.6464807785
17	0.6450812986
18	0.6437936323
19	0.6425981309
20	0.641475624
21	0.6404478576
22	0.6394631389
23	0.6385482034
24	0.6377569309
25	0.6369283121
26	0.6361923562
27	0.6355760758
28	0.634886426
29	0.6342492344
30	0.6336128244
31	0.6330800549
32	0.6325688184
33	0.6320589614
34	0.6316075857
35	0.6311595429
36	0.6307114887
37	0.63027191
38	0.6299029324
39	0.6295324641
40	0.6291701284
41	0.6287913849
42	0.6284429744
43	0.628152314
44	0.6278595817
45	0.6275373942
46	0.6272682958
47	0.6269228511
48	0.6266239597
49	0.6263680416
50	0.6260865992
51	0.6258224018
52	0.6255773776
53	0.6253325605
54	0.6251058523
55	0.624914622
56	0.6247528126
57	0.6245409343
58	0.6243837551
59	0.6241313574
60	0.6238898068
61	0.6237017513
62	0.623421318
63	0.6232348798
64	0.6230693169
65	0.622862968
66	0.6227100089
67	0.6225694737
68	0.6224146029
69	0.6222758589
70	0.6221409011
71	0.6219302766
72	0.621773041
73	0.6216428247
74	0.621496767
75	0.6213777689
76	0.6212280463
77	0.621054365
78	0.6209325276
79	0.6207965529
80	0.6206666161
81	0.6205479992
82	0.6204340831
83	0.6202957318
84	0.6201236135
85	0.6200317236
86	0.6198807673
87	0.6197934216
88	0.6196706325
89	0.6195846908
90	0.6194948395
91	0.6193864375
92	0.6192917416
93	0.6191742744
94	0.619092535
95	0.6189699905
96	0.6188256933
97	0.6186588671
98	0.6185954771
99	0.6184887894
100	0.6184029366
101	0.618301668
102	0.6182083513
103	0.6181302238
104	0.6180591528
105	0.6179666598
106	0.617874775
107	0.6177855034
108	0.6177063929
109	0.6175788951
110	0.61743591
111	0.6173244995
112	0.6172373463
113	0.6171652697
114	0.6171007306
115	0.617011349
116	0.6168521771
117	0.6167623852
118	0.6166788762
119	0.6165816782
120	0.6165016358
121	0.616429305
122	0.6163511529
123	0.6162551643
124	0.6161996627
125	0.6161230885
126	0.6160563117
127	0.6159802593
128	0.6159113329
129	0.6158349195
130	0.6157379825
131	0.6156679364
132	0.6155891292
133	0.6155260306
134	0.6154696436
135	0.615398147
136	0.6153225956
137	0.6152271514
138	0.6151504051
139	0.6150965695
140	0.6150428235
141	0.6149734136
142	0.6149110956
143	0.6148611483
144	0.6147912728
145	0.6146722313
146	0.6146141677
147	0.6145515036
148	0.6145084585
149	0.6144550497
150	0.6143994757
151	0.6143353426
152	0.6142733978
153	0.6142276046
154	0.6141599537
155	0.6140492295
156	0.6139905457
157	0.6138613268
158	0.6138141351
159	0.6137304496
160	0.6136660349
161	0.6135525523
162	0.6134942752
163	0.6134541951
164	0.6133942352
165	0.6133456888
166	0.6132463026
167	0.613148773
168	0.6130710741
169	0.6130205095
170	0.6128618142
171	0.6128268868
172	0.6127634375
173	0.6126915516
174	0.6126226945
175	0.6125849123
176	0.6124863378
177	0.6124311932
178	0.6123805128
179	0.6123227125
180	0.6122396828
181	0.6121534049
182	0.6121024357
183	0.6120447044
184	0.6119788132
185	0.6119414888
186	0.6118978472
187	0.6118548536
188	0.6118067404
189	0.6117048925
190	0.6116480838
191	0.6115907533
192	0.6115346833
193	0.6114780589
194	0.6114272447
195	0.6113815812
196	0.6113315048
197	0.6112965211
198	0.6112404883
199	0.6111334788
200	0.611093273
201	0.6110587895
202	0.6110155968
203	0.6109729754
204	0.6109183745
205	0.6108706208
206	0.610841792
207	0.6108057421
208	0.6107434504
209	0.6106955828
210	0.6106184182
211	0.6105654713
212	0.6105309687
213	0.6104911049
214	0.6104537113
215	0.6104239961
216	0.6103782529
217	0.6103282235
218	0.6102852387
219	0.6101864752
220	0.610122563
221	0.6101022553
222	0.6100415478
223	0.6099981144
224	0.6099424123
225	0.6099167924
226	0.6098829666
227	0.6098011093
228	0.6097084228
229	0.6096768803
230	0.6096084705
231	0.6095531978
232	0.6094993697
233	0.6094353929
234	0.6094000111
235	0.6092902138
236	0.6091622073
237	0.6091308525
238	0.6090486739
239	0.6090142438
240	0.6089717385
241	0.6089138227
242	0.6088795364
243	0.6087887024
244	0.6087476129
245	0.6086997383
246	0.6086214287
247	0.6086021905
248	0.6085318678
249	0.6084943979
250	0.6084598995
251	0.608412099
252	0.6083808064
253	0.6083415635
254	0.6083115619
255	0.6082421708
256	0.6082121914
257	0.6081767885
258	0.6081394358
259	0.6081165626
260	0.60808081
261	0.6079936123
262	0.6079612234
263	0.6079205793
264	0.6078893469
265	0.6078553838
266	0.6077734095
267	0.6077404619
268	0.607660177
269	0.6076066522
270	0.6075561896
271	0.6075222494
272	0.607496543
273	0.6074610567
274	0.6074221387
275	0.6073724924
276	0.6073439603
277	0.607308836
278	0.6072662395
279	0.6072405449
