iter	Passed	Remaining
0	173	48472
1	228	31809
2	263	24372
3	300	20707
4	333	18353
5	368	16806
6	408	15940
7	445	15136
8	484	14580
9	521	14080
10	556	13602
11	596	13314
12	663	13632
13	732	13919
14	807	14271
15	868	14332
16	915	14160
17	959	13972
18	1004	13793
19	1055	13722
20	1108	13676
21	1160	13610
22	1209	13512
23	1256	13406
24	1308	13344
25	1359	13283
26	1415	13263
27	1480	13325
28	1567	13570
29	1630	13583
30	1686	13544
31	1734	13438
32	1789	13392
33	1841	13320
34	1901	13308
35	1958	13273
36	2006	13179
37	2057	13100
38	2113	13060
39	2166	13001
40	2217	12927
41	2278	12913
42	2325	12817
43	2377	12753
44	2436	12725
45	2497	12702
46	2548	12634
47	2596	12551
48	2651	12498
49	2716	12496
50	2764	12411
51	2808	12315
52	2856	12236
53	2908	12170
54	2967	12139
55	3011	12047
56	3059	11968
57	3119	11941
58	3166	11859
59	3225	11826
60	3289	11808
61	3349	11778
62	3400	11714
63	3454	11658
64	3515	11628
65	3564	11559
66	3615	11493
67	3657	11402
68	3710	11345
69	3787	11363
70	3855	11349
71	3914	11308
72	3965	11243
73	4017	11183
74	4067	11119
75	4113	11041
76	4154	10953
77	4198	10871
78	4254	10824
79	4314	10786
80	4359	10711
81	4410	10650
82	4458	10581
83	4513	10532
84	4558	10457
85	4612	10405
86	4668	10357
87	4723	10306
88	4770	10237
89	4812	10159
90	4859	10093
91	4916	10047
92	4969	9993
93	5018	9929
94	5070	9873
95	5123	9820
96	5167	9749
97	5212	9680
98	5260	9617
99	5315	9567
100	5359	9498
101	5408	9438
102	5458	9380
103	5516	9335
104	5562	9270
105	5611	9211
106	5667	9162
107	5718	9106
108	5773	9056
109	5819	8994
110	5858	8920
111	5907	8861
112	5962	8811
113	6037	8791
114	6104	8757
115	6159	8708
116	6206	8646
117	6251	8582
118	6302	8526
119	6360	8480
120	6406	8419
121	6458	8363
122	6502	8299
123	6564	8258
124	6612	8199
125	6665	8146
126	6723	8099
127	6773	8043
128	6820	7983
129	6861	7917
130	6906	7855
131	6950	7792
132	7000	7737
133	7047	7678
134	7101	7627
135	7156	7577
136	7208	7523
137	7245	7455
138	7298	7403
139	7341	7341
140	7392	7287
141	7441	7232
142	7496	7181
143	7553	7133
144	7602	7078
145	7646	7018
146	7697	6964
147	7747	6909
148	7795	6853
149	7848	6801
150	7890	6740
151	7954	6698
152	8010	6648
153	8058	6593
154	8107	6538
155	8155	6482
156	8205	6428
157	8274	6389
158	8349	6354
159	8399	6299
160	8444	6241
161	8492	6186
162	8544	6133
163	8595	6079
164	8645	6025
165	8692	5969
166	8750	5921
167	8792	5861
168	8835	5803
169	8873	5741
170	8913	5681
171	8963	5628
172	9015	5576
173	9064	5522
174	9120	5472
175	9171	5419
176	9212	5361
177	9254	5302
178	9300	5247
179	9344	5191
180	9388	5134
181	9436	5080
182	9490	5030
183	9546	4980
184	9606	4932
185	9652	4878
186	9695	4821
187	9748	4770
188	9797	4717
189	9837	4660
190	9887	4607
191	9938	4555
192	9991	4503
193	10041	4451
194	10090	4398
195	10129	4341
196	10175	4287
197	10228	4236
198	10285	4186
199	10344	4137
200	10415	4093
201	10491	4051
202	10570	4009
203	10645	3966
204	10723	3923
205	10802	3880
206	10856	3828
207	10916	3778
208	10967	3725
209	11022	3674
210	11064	3618
211	11117	3565
212	11181	3517
213	11247	3468
214	11312	3419
215	11396	3376
216	11478	3332
217	11565	3289
218	11638	3241
219	11712	3194
220	11777	3144
221	11824	3089
222	11874	3035
223	11925	2981
224	11979	2928
225	12033	2875
226	12083	2821
227	12132	2767
228	12179	2712
229	12230	2658
230	12289	2606
231	12339	2553
232	12382	2497
233	12426	2442
234	12481	2390
235	12538	2337
236	12581	2282
237	12630	2228
238	12669	2173
239	12718	2119
240	12799	2071
241	12859	2019
242	12917	1966
243	12966	1913
244	13031	1861
245	13084	1808
246	13127	1753
247	13174	1699
248	13214	1645
249	13264	1591
250	13326	1539
251	13377	1486
252	13422	1432
253	13471	1378
254	13524	1325
255	13567	1271
256	13615	1218
257	13667	1165
258	13731	1113
259	13779	1059
260	13822	1006
261	13867	952
262	13915	899
263	13965	846
264	14015	793
265	14076	740
266	14128	687
267	14185	635
268	14231	581
269	14278	528
270	14325	475
271	14427	424
272	14480	371
273	14534	318
274	14590	265
275	14668	212
276	14748	159
277	14817	106
278	14877	53
279	14939	0
